Contributor,Affiliation,Active,Comment
`Alfonso Capozzoli <https://www.polito.it/en/staff?p=alfonso.capozzoli>`_,Politecnico di Torino,2022-present,Advisor
`Allen Wu <https://www.linkedin.com/in/allen-wu-a34a41152/>`_,The University of Texas at Austin,2023-present,Developer
`Aysegul Demir <https://www.uwyo.edu/civil/faculty_staff/faculty/aysegul-demir/>`_,University of Wyoming,2019-2021,Developer
`Calvin Lin <https://www.linkedin.com/in/calvinjlin>`_,The University of Texas at Austin,2020-present,Developer
`Dipam Chakraborty <https://dipam.in>`_,AICrowd,2022,Developer
`Giacomo Buscemi <https://www.linkedin.com/in/giacomo-buscemi/>`_,Politecnico di Torino,2022-present,Developer
`Giuseppe Pinto <https://www.linkedin.com/in/g-pinto>`_,Passive Logic,2022-present,Advisor
`Gregor Henze <https://www.colorado.edu/ceae/gregor-p-henze>`_,University of Colorado Boulder,2019-present,"Co-creator, Advisor"
`Han Li <https://eta.lbl.gov/people/han-li>`_,Lawrence Berkeley National Lab,2022-present,Advisor
Hyun Park,The University of Texas at Austin,2023,Developer
`Jan Drgona <https://www.pnnl.gov/people/jan-drgona>`_,Pacific Northwest National Laboratory (PNNL),2022,Advisor
`Jose Vazquez-Canteli <https://www.linkedin.com/in/josé-ramón-vázquez-canteli-44392917>`_,Mapped,2019-present,"Co-creator, former lead-developer"
`June Young Park <https://www.uta.edu/academics/faculty/profile?username=parkjy>`_,The University of Texas at Arlington,2019-2020,Advisor
`Kaitlyn Ng <https://www.linkedin.com/in/kaitlynng9>`_,University of Washington,2020,Developer
`Kathryn Kaspar <https://www.linkedin.com/in/kathrynkaspar>`_,Concordia University,2022-present,Developer
`Kingsley Nweye <https://www.kingsleynweye.com/>`_,The University of Texas at Austin,2021-present,Current lead-developer
`Ludwig Bald <https://ludwigbald.com>`_,Eberhard Karl University of Tübingen,2022,Beta-tester
`Mohamed Ouf <https://www.concordia.ca/faculty/mohamed-ouf.html>`_,Concordia University,2022-present,Advisor
`Sharada Mohanty <https://spmohanty.com>`_,AICrowd,2022,Advisor
`Siva Sankaranarayanan <https://www.linkedin.com/in/siva-sankaranarayanan-3766551/>`_,Electric Power Research Institute (EPRI),2022,Advisor
`Sourav Dey <https://www.linkedin.com/in/sourav-dey-41395217>`_,University of Colorado Boulder,2019-present,"Co-creator, Advisor"
`Tianzhen Hong <https://eta.lbl.gov/people/tianzhen-hong>`_,Lawrence Berkeley National Lab,2022-present,Advisor
`Yara Almilaify <https://www.linkedin.com/in/yara-almilaify>`_,The University of Texas at Austin,2023-present,Beta-tester
`Zoltan Nagy <https://www.ie-lab.org>`_,The University of Texas at Austin,2019-present,Co-creator